,codeSupply,nameSupply,codeArticle,nameArticle,unitArticle,lastCurrencyBuy,lastPriceBuy,factPrice,lastDateBuy,lastQuantityBuy
0,A003,VALVOLINE,m25600025,ACEITE SAE25W60 SL MAXPOWER,QT,USD,3.06,0.0,2024-11-12,108.0
1,A003,VALVOLINE,pp05300100,ACEITE SAE5W30 SP SYNTHETIC,GLN,USD,16.31,0.0,2024-11-12,600.0
2,A003,VALVOLINE,rp2050100,ACEITE SAE20W50 SN RACING,GLN,USD,11.47,2.61853,2024-11-12,600.0
3,A004,VALVOLINE - USA,861398,REFRIG AZUL 50/50 ZEREX RTU AFC ASIAN,GLN,USD,6.243333,0.0,2024-05-04,216.0
4,A004,VALVOLINE - USA,880954,ACEITE SAE10W40 SP MAXLIFE GLX1.25gl 5/4,GLN,USD,15.83,0.0,2024-05-04,96.0
5,A004,VALVOLINE - USA,896749,ACEITE SAE5W40 SN SYNTHETIC MST GLX1.25gl 5/4,GL5,USD,24.78,0.0,2024-08-07,99.0
7,A004,VALVOLINE - USA,vv982,ACEITE SAE75W140 LS/FS SYNPOWER 1/4,QT,USD,9.911667,3.836069,2024-08-07,204.0
8,A005,SABO- BRASIL,00272brg,RETEN CAJA DIRECCION 45X60X7,PZA,USD,0.79,0.0,2016-07-09,50.0
9,A005,SABO- BRASIL,02049bg,RETEN DE RUEDA DEL 100X119.95X13 2049,PZA,USD,2.0604,0.0,2017-06-01,50.0
10,A005,SABO- BRASIL,02100bag,RETEN DE CAJA POSTERIOR 58X75X12,PZA,USD,1.067,0.0,2008-12-01,50.0
11,A005,SABO- BRASIL,02208bag,RETEN DE TELMA 90X120X12 2208,PZA,USD,3.15,0.0,2017-06-01,50.0
12,A005,SABO- BRASIL,02244b,RETEN DE ACOPLE BOMBA INYEC 424580 941580,PZA,USD,0.988,0.0,2008-12-01,300.0
13,A005,SABO- BRASIL,05414bragf,RETEN DE CIGUEÑAL POSTERIOR 469336,PZA,USD,8.79,0.0,2011-12-28,20.0
14,A005,SABO- BRASIL,80382,EMPAQUE DE MOTOR COMPLETO,JGO,USD,24.71,0.0,2019-12-16,30.0
15,A005,SABO- BRASIL,82240,EMPAQUE DE CULATA 3681E021,PZA,USD,8.3,0.0,2019-12-16,50.0
16,A010,SEALED POWER - USA,7407     st,ANILLOS DE COMPRESORA 272560 STD,JGO,USD,12.803,0.0,2011-11-30,10.0
17,A010,SEALED POWER - USA,9674x   010,ANILLOS DE COMPRESORA AR73351,CIL,USD,5.32,0.0,2009-11-04,30.0
18,A010,SEALED POWER - USA,fp10223x,ANILLOS DE COMPRESORA 6885913,,USD,5.07,0.0,2015-06-16,200.0
19,A013,NOVAQUIMICA - PERU,novar#1,NOVARUNDUM 120gr 007 24 UNIDADES,CJA,USD,48.29,0.0,2025-01-14,40.0
20,A017,SAKURA FILTER,a-1026,FILTRO DE AIRE(4)AF10244 AFL4044HD,PZA,USD,11.5,3.198617,2025-01-10,108.0
21,A017,SAKURA FILTER,a-1026-s,KIT DE FILTROS1°2°(4)A-1026+A-1038,JGO,USD,16.0,0.0,2023-11-28,28.0
22,A017,SAKURA FILTER,a-1081,FILTRO DE AIRE(20)MR-968274 CA10910,PZA,USD,1.25,3.178417,2024-11-28,400.0
