Fecha,Artículo,Fuente Suministro,Inventario,Backorder,Importancia RFM,Alerta,Demanda Mensual,Monto USD,Última Compra,Compras Recomendadas,Recomendacion USD
2024-12-01,93249960,ks - alemania,0.0,,0,rojo,1.0,117.01880801916123,18.0,50,5850.940400958061
2025-04-01,bdd114,ishikawa - discos de freno,24.0,,0,verde,2.0,8.31,50.0,0,0.0
2025-04-01,h851405500,valvoline,4.0,,1,verde,1.0,594.88,4.0,50,29744.0
2025-04-01,tto016,ito koyama - direccion,28.0,,0,verde,4.0,2.77,80.0,50,138.5
2024-04-01,99991970,ks - alemania,0.0,,1,rojo,11.999013900756836,104.63045239448547,30.0,50,5231.522619724274
2025-02-01,vv630,valvoline - usa,34.0,,0,verde,4.003705978393555,122.49,22.0,0,0.0
2023-08-01,89460110,ks - alemania,0.0,,0,rojo,6.000926494598389,33.25743620634079,12.0,50,1662.8718103170395
2025-04-01,t014,ito koyama - resortes,638.0,,2,verde,159.5,4.75,800.0,1000,4750.0
2025-04-01,a-1331-s,sakura filter,834.0,1180.0,3,verde,539.2474501423997,11.04,816.0,3300,36432.0
2025-04-01,bdd120,ishikawa - discos de freno,2.0,,0,amarillo,3.9999173482259116,8.09,50.0,50,404.5
2025-02-01,fs-2814,sakura filter,191.0,,0,verde,4.000892321268718,3.3,300.0,0,0.0
2024-12-01,mwmwd1037,wagner - pastillas,8.0,,0,verde,3.1616543976392983,10.6,20.0,50,530.0
2025-04-01,ef-15130,sakura filter,4905.0,1825.0,3,verde,1278.2803780573445,4.14,375.0,7750,32084.999999999996
2025-04-01,c-1534,sakura filter,1020.0,0.0,3,verde,392.9921061197917,4.21,3000.0,2400,10104.0
2025-04-01,a-1324-s,sakura filter,1048.0,564.0,3,verde,247.0,8.47,900.0,1400,11858.0
2025-03-01,wa9-multi-16,mann - brasil,268.0,,0,verde,6.0,7.92,60.0,0,0.0
2025-04-01,fc-1806,sakura filter,3950.0,0.0,3,verde,787.3778980025971,1.77,1000.0,4800,8496.0
2025-04-01,eo-2404,sakura filter,1229.0,,3,verde,175.5,1.7,150.0,950,1615.0
2025-04-01,56210-el00a,ito koyama - amortiguadores,202.0,,2,verde,30.0,6.7,150.0,200,1340.0
2025-01-01,bz0010,ishikawa - zapatas de freno,0.0,,0,rojo,64.13332150000001,3.94,300.0,400,1576.0
2025-04-01,fc-1001,sakura filter,0.0,875.0,2,rojo,511.9933675130208,2.18,1000.0,3150,6867.000000000001
2025-04-01,bdd088,ishikawa - discos de freno,4.0,,0,verde,2.0015107790629068,10.38,100.0,50,519.0
2025-04-01,c006,ito koyama - resortes,0.0,,0,rojo,7.998557408650716,5.57,200.0,50,278.5
2025-04-01,t005,ito koyama - resortes,274.0,,3,verde,56.0,3.9,360.0,350,1365.0
2025-04-01,a-6020m,sakura filter,120.0,152.0,3,verde,229.999267578125,8.1,400.0,1400,11340.0
2025-04-01,ef-1003,sakura filter,5654.0,2000.0,3,verde,1406.608314182696,1.84,550.0,8300,15272.0
2024-08-01,fc-5508,sakura filter,0.0,,0,rojo,6.83747974487796,3.79,60.0,50,189.5
2024-09-01,zd1510,wagner - pastillas,0.0,,0,rojo,2.036887601974372,32.244,30.0,50,1612.2
2025-04-01,bz0053,ishikawa - zapatas de freno,197.0,,0,verde,5.464758116604834,3.94,300.0,0,0.0
2025-04-01,bdd210,ishikawa - discos de freno,34.0,,0,verde,0.6666666666666666,6.58,50.0,0,0.0
2021-10-01,skf-6307-2rs1c3,skf - rodajes,0.0,,0,rojo,4.0,6.97,300.0,50,348.5
2023-09-01,93369971,ks - alemania,0.0,,1,rojo,6.0,83.78025136470795,24.0,50,4189.012568235397
2025-04-01,bmz006,ito koyama - bocamazas,28.0,,0,verde,2.0,15.13,20.0,0,0.0
2023-07-01,ckr-502,aisin - japon,0.0,,0,rojo,1.0,382.66,9.0,50,19133.0
2024-10-01,zd1721,wagner - pastillas,0.0,,0,rojo,0.8333333333333334,37.674,10.0,50,1883.7
