fecha,articulo,cantidad,transacciones,venta_pen,fuente_suministro,costo,lt
2023-10-13,884530,30.0,1,3124.88,valvoline - usa,2169.29001,3.0
2024-01-12,884530,30.0,1,3012.61,valvoline - usa,2169.11001,3.0
2024-06-28,884530,30.0,1,3306.37,valvoline - usa,2394.87,3.0
2023-10-13,884544,30.0,1,3124.88,valvoline - usa,2118.72999,3.0
2024-06-28,884544,30.0,1,3306.37,valvoline - usa,2317.62999,3.0
2024-01-12,884544,30.0,1,3012.61,valvoline - usa,2261.97999,3.0
2023-08-31,884721,24.0,1,735.95,valvoline - usa,420.040008,3.0
2024-05-09,m25600100,9.0,1,553.87,valvoline,367.980003,2.0
2023-06-28,m25600100,12.0,1,721.85,valvoline,539.67,2.0
2024-01-12,m25600100,9.0,1,550.75,valvoline,359.420004,2.0
2023-10-13,rp2050100,15.0,1,903.29,valvoline,639.169995,2.0
2023-10-13,b10300100,18.0,1,1201.12,valvoline,859.77,2.0
2024-03-30,b10300100,15.0,1,969.66,valvoline,724.090005,2.0
2024-06-28,b20500100,12.0,1,797.4,valvoline,575.480004,2.0
2023-10-13,b20500100,15.0,1,1000.93,valvoline,718.56,2.0
2024-03-30,g20w50100,12.0,1,700.07,valvoline,496.250004,2.0
2024-01-12,g20w50100,15.0,1,870.83,valvoline,612.010005,2.0
2024-05-09,b10300100,9.0,1,582.28,valvoline,427.419999,2.0
2024-01-12,b10300100,15.0,1,964.96,valvoline,716.28,2.0
2023-06-28,g20w50100,18.0,1,1027.21,valvoline,774.860004,2.0
2024-01-31,icd1566,6.0,1,333.48,ishikawa - pastillas de freno,162.319998,6.0
2024-11-21,icd1676,2.0,1,141.63,ishikawa - pastillas de freno,62.19,6.0
2024-11-21,icd1555,3.0,1,159.33,ishikawa - pastillas de freno,80.829999,6.0
2024-11-21,icd1852,5.0,1,177.02,ishikawa - pastillas de freno,79.39,6.0
2024-11-21,icd1950,5.0,1,177.02,ishikawa - pastillas de freno,67.51,6.0
2024-11-21,icd1964,2.0,1,96.55,ishikawa - pastillas de freno,48.39,6.0
2024-11-21,icd1985,2.0,1,96.55,ishikawa - pastillas de freno,46.98,6.0
2024-11-21,icd1984,5.0,1,337.95,ishikawa - pastillas de freno,158.16,6.0
2024-11-21,icd1211,2.0,1,103.0,ishikawa - pastillas de freno,50.7,6.0
2024-01-31,icd1398,4.0,1,103.41,ishikawa - pastillas de freno,50.29,6.0
2024-01-31,icd1434,6.0,1,205.52,ishikawa - pastillas de freno,100.069998,6.0
2024-11-21,icd1471,3.0,1,96.55,ishikawa - pastillas de freno,41.859999,6.0
2024-01-31,icd1555,4.0,1,213.26,ishikawa - pastillas de freno,103.9,6.0
2023-08-28,icd1912,2.0,1,84.71,ishikawa - pastillas de freno,45.4,6.0
2023-08-28,icd1855,2.0,1,80.68,ishikawa - pastillas de freno,44.62,6.0
2023-08-28,icd1879,1.0,1,30.11,ishikawa - pastillas de freno,16.14,6.0
2024-05-09,g20w50100,9.0,1,525.46,valvoline,374.079996,2.0
2024-11-21,h85140025,36.0,1,807.61,valvoline,465.090012,2.0
2024-01-31,m25600100,24.0,1,1512.27,valvoline,958.450008,2.0
2023-08-28,icd1886,1.0,1,50.75,ishikawa - pastillas de freno,27.19,6.0
2023-08-28,icd1911,1.0,1,55.45,ishikawa - pastillas de freno,25.12,6.0
2023-08-28,icd1815,2.0,1,104.39,ishikawa - pastillas de freno,55.95,6.0
2023-08-28,icd1846,2.0,1,74.68,ishikawa - pastillas de freno,40.01,6.0
2024-10-11,896749,9.0,1,1292.91,valvoline - usa,846.829998,3.0
2024-03-15,896749,6.0,1,841.33,valvoline - usa,547.32,3.0
2024-10-11,pp103000100,6.0,1,536.31,valvoline,360.0,2.0
2024-06-24,r20500500,2.0,1,510.12,valvoline,335.28,2.0
2023-08-28,icd1661,1.0,1,34.36,ishikawa - pastillas de freno,20.02,6.0
2023-08-28,icd1759,2.0,1,87.63,ishikawa - pastillas de freno,46.97,6.0
2023-08-28,icd1614,2.0,1,61.55,ishikawa - pastillas de freno,34.07,6.0
2023-08-28,icd1712,1.0,1,43.83,ishikawa - pastillas de freno,23.48,6.0
2024-06-24,rp1030100,10.0,1,596.7,valvoline,434.96,2.0
2024-11-27,rp1030100,24.0,1,1419.67,valvoline,1013.73,2.0
2024-12-30,rp1030100,9.0,1,529.13,valvoline,380.150001,2.0
2024-11-27,rp2050100,18.0,1,1064.74,valvoline,755.650008,2.0
2023-08-28,icd1736,2.0,1,105.31,ishikawa - pastillas de freno,57.99,6.0
2023-08-28,icd2007,2.0,1,60.92,ishikawa - pastillas de freno,32.66,6.0
2023-08-28,icd1852,2.0,1,69.1,ishikawa - pastillas de freno,37.04,6.0
2023-08-28,icd2038,2.0,1,66.66,ishikawa - pastillas de freno,35.71,6.0
2023-08-28,icd1965,2.0,1,62.59,ishikawa - pastillas de freno,34.62,6.0
2023-08-28,icd830,2.0,1,81.12,ishikawa - pastillas de freno,43.14,6.0
2023-08-28,icd2076,2.0,1,89.22,ishikawa - pastillas de freno,47.83,6.0
2023-08-28,icd1935,2.0,1,64.4,ishikawa - pastillas de freno,35.4,6.0
2023-08-28,icd948,1.0,1,39.95,ishikawa - pastillas de freno,23.87,6.0
2023-08-28,icd1397,2.0,1,63.14,ishikawa - pastillas de freno,37.76,6.0
2023-08-28,icd1398,1.0,1,23.75,ishikawa - pastillas de freno,13.13,6.0
