lag,tipo,corr,sku
1,Pesados,-0.3290632530560349,17037
0,Livianos,-0.3997699801604863,17141
0,Menores,-0.34020104924726946,17141
0,Pesados,-0.43666227429055576,17141
2,Hibridos y Electricos,-0.4444159300478416,17141
5,Remolques y SemiR,0.4766000970488547,17141
5,Livianos,-0.3270737818385675,17171
6,Remolques y SemiR,0.32610950930922883,17171
2,Livianos,-0.43016845375414603,17181
2,Menores,-0.34237381562259095,17181
2,Pesados,-0.4262345288297558,17181
5,Remolques y SemiR,0.508910390612439,17181
7,Hibridos y Electricos,-0.5252237678728743,17181
1,Livianos,-0.42703170487780345,17197
1,Menores,-0.3001198751810968,17197
1,Pesados,-0.4023885840160599,17197
6,Remolques y SemiR,0.48175685407128915,17197
7,Hibridos y Electricos,-0.41478933295103415,17197
2,Hibridos y Electricos,-0.3148144203857513,17635
6,Remolques y SemiR,0.31181289362314474,17635
1,Livianos,0.3070609888360419,17638
1,Remolques y SemiR,-0.3081341205903302,17638
6,Remolques y SemiR,0.30675708578545013,17643
5,Livianos,-0.32682419705604554,17916
0,Remolques y SemiR,0.36369225498495406,17948
0,Hibridos y Electricos,0.4773604158555743,18032
4,Livianos,0.35471312815329314,18032
6,Menores,-0.3942406265299472,18032
6,Remolques y SemiR,-0.49517108119308484,18032
5,Hibridos y Electricos,0.3017731279561152,18033
6,Remolques y SemiR,-0.4048526398101251,18033
0,Hibridos y Electricos,0.37894887560812524,18036
0,Remolques y SemiR,-0.361948445609988,18036
2,Hibridos y Electricos,0.4977745484882851,18038
6,Remolques y SemiR,-0.44030803057585244,18038
7,Livianos,0.40657770009370453,18038
7,Pesados,0.3099874926388266,18038
5,Hibridos y Electricos,0.31153827046216953,18048
6,Remolques y SemiR,-0.3722779227956575,18048
7,Hibridos y Electricos,0.37922791378776305,18057
7,Remolques y SemiR,-0.3392981988258904,18057
2,Remolques y SemiR,0.49286578930677455,24526127l
3,Menores,0.3543999717315606,24526127l
2,Remolques y SemiR,0.391573587229196,24526127r
1,Livianos,-0.46445152297611886,332152
1,Menores,-0.4880428294237866,332152
1,Pesados,-0.4868460565557772,332152
3,Remolques y SemiR,0.43173394823004874,332152
7,Hibridos y Electricos,-0.346115410532956,332152
1,Livianos,-0.47605479792183447,332153
1,Menores,-0.509338504614057,332153
1,Pesados,-0.4943512914569115,332153
3,Remolques y SemiR,0.4417707096671213,332153
6,Hibridos y Electricos,-0.33929180434681006,332153
7,Livianos,0.437533030411911,3330083
7,Menores,0.4552846864723667,3330083
7,Pesados,0.41377331684343976,3330083
0,Hibridos y Electricos,0.3135227172943316,3330084
4,Remolques y SemiR,-0.3442809286410571,3330084
5,Livianos,0.4814333100221206,3330084
5,Menores,0.4978766213650531,3330084
5,Pesados,0.5179011073030593,3330084
0,Remolques y SemiR,0.44331365306341053,333741
4,Menores,0.361036050284449,333741
7,Hibridos y Electricos,-0.44484811777815775,333741
2,Livianos,0.5976285271464805,3340047
2,Menores,0.5797516244802574,3340047
2,Pesados,0.6120049857969445,3340047
4,Hibridos y Electricos,0.46082311429953304,3340047
7,Remolques y SemiR,-0.4185046338500686,3340047
1,Remolques y SemiR,-0.3214047607790227,3340048
2,Livianos,0.42895301400571056,3340048
2,Menores,0.32221609983012656,3340048
2,Pesados,0.3451069954932192,3340048
7,Remolques y SemiR,0.33620721093795014,3461-1011askr
1,Livianos,0.4486770210255101,3461-1096skr
1,Menores,0.45196675517857665,3461-1096skr
2,Pesados,0.43917082371615135,3461-1096skr
3,Remolques y SemiR,-0.37328227677169457,3461-1096skr
0,Livianos,0.5671396764050906,3461-8553skr
0,Menores,0.4546231933788448,3461-8553skr
0,Pesados,0.5415477228741339,3461-8553skr
1,Remolques y SemiR,-0.5845984971998974,3461-8553skr
2,Hibridos y Electricos,0.6399628206000549,3461-8553skr
1,Hibridos y Electricos,-0.3341483844183546,377412503
4,Menores,0.34471204661595334,377412503
5,Remolques y SemiR,0.33423134824003536,377412503
0,Remolques y SemiR,0.45690640850573216,377513029
1,Hibridos y Electricos,-0.4157042191358616,377513029
4,Menores,0.47997425157466006,377513029
5,Pesados,0.3193419002475074,377513029
5,Remolques y SemiR,0.400736649582199,4060a397
6,Hibridos y Electricos,-0.31638771442056546,4060a397
2,Menores,0.3672047367218938,4106861j00
2,Menores,0.3072765758529803,4106961j00
4,Menores,-0.38510965402629194,41601-64j00
2,Hibridos y Electricos,-0.6315197321742699,41602-64j00
4,Livianos,-0.5055546897090504,41602-64j00
4,Menores,-0.4392644306520709,41602-64j00
4,Pesados,-0.4976424620550043,41602-64j00
5,Remolques y SemiR,0.5929342162489508,41602-64j00
5,Remolques y SemiR,0.3252959167162704,41700-65j00
0,Hibridos y Electricos,-0.37945603357880575,44209
3,Remolques y SemiR,0.3825761567340713,44209
1,Livianos,0.3439546430705017,48005
1,Remolques y SemiR,-0.31352953190328225,48005
6,Hibridos y Electricos,0.3646680288136613,48005
2,Menores,-0.320361454304017,48006
4,Hibridos y Electricos,0.65785067385788,48072
6,Livianos,0.445809601253897,48072
6,Pesados,0.42007640053696127,48072
7,Remolques y SemiR,-0.5696799311440662,48072
1,Livianos,0.3323636528018997,48076
6,Hibridos y Electricos,0.3122885849606977,48076
3,Livianos,-0.31444061485623737,48078
3,Pesados,-0.3205001663716277,48078
7,Remolques y SemiR,0.31880141793053396,48078
2,Hibridos y Electricos,-0.3247922770970325,48321
2,Livianos,-0.3029249518268709,48321
5,Remolques y SemiR,0.48746812576061865,48321
0,Remolques y SemiR,0.3358818469031734,48350
0,Livianos,-0.35898376649225844,48351
0,Pesados,-0.3707902675293824,48351
1,Hibridos y Electricos,-0.46572788459562664,48351
5,Remolques y SemiR,0.4838621143663506,48351
2,Remolques y SemiR,0.3253230967839575,48510-02150
1,Hibridos y Electricos,-0.6043923439477648,48510-09k60ref
1,Livianos,-0.4198446913737232,48510-09k60ref
1,Menores,-0.3368676954702494,48510-09k60ref
1,Pesados,-0.4212756750232709,48510-09k60ref
3,Remolques y SemiR,0.5531307685775481,48510-09k60ref
4,Remolques y SemiR,0.3354511930725569,48510-0d591
1,Hibridos y Electricos,-0.5495502783437936,48510-12750
5,Remolques y SemiR,0.5423157394521606,48510-12750
2,Remolques y SemiR,0.4281035342171568,48510-12750-r
6,Menores,0.4298723027279829,48510-12750-r
5,Menores,0.3683581025594378,48510-12d20
6,Remolques y SemiR,0.3126772251083272,48510-12d20
4,Hibridos y Electricos,-0.34968234774665674,48510-19355
4,Remolques y SemiR,0.3394477906634185,48510-19355
7,Livianos,-0.3734513469665757,48510-19355
7,Pesados,-0.3216160683372954,48510-19355
1,Livianos,-0.4415662647127896,48510-20010
1,Pesados,-0.3992940316900412,48510-20010
2,Remolques y SemiR,0.6764682950623618,48510-20010
7,Hibridos y Electricos,-0.7382895717225572,48510-20010
2,Remolques y SemiR,0.3736035566473928,48510-29277
6,Hibridos y Electricos,-0.3585666177995625,48510-29277
0,Remolques y SemiR,0.39393070816077036,48510-52031
1,Hibridos y Electricos,-0.4542448947639018,48510-52031
6,Livianos,0.3401576563349242,48510-52790
6,Menores,0.5116478081160688,48510-52790
6,Pesados,0.44384741526796656,48510-52790
1,Hibridos y Electricos,-0.33271462442167726,48510-8z205ref
2,Livianos,-0.3582645538408861,48510-8z205ref
2,Menores,-0.3001275253770275,48510-8z205ref
2,Pesados,-0.38333533623791866,48510-8z205ref
7,Remolques y SemiR,-0.45182953200255493,48510-bz750
5,Menores,0.3631742631611812,4851009u70
5,Livianos,0.45516232994594963,485100d851
5,Menores,0.42436477629998964,485100d851
7,Pesados,0.3641351864804426,485100d851
2,Menores,0.30602350847501275,48520-02150
1,Hibridos y Electricos,-0.3200977630788828,48520-12610
5,Remolques y SemiR,0.3791340959072475,48520-12610
2,Remolques y SemiR,0.41007044420310973,48520-12610-l
6,Menores,0.4827526156460565,48520-12610-l
6,Pesados,0.3293571134649867,48520-12610-l
6,Menores,0.3719544343974907,48520-12c20
6,Remolques y SemiR,0.34706197731585564,48520-12c20
3,Hibridos y Electricos,-0.45791975369069515,48520-19075
4,Remolques y SemiR,0.47475129972087393,48520-19075
5,Menores,0.36461734611216257,48520-19075
7,Livianos,-0.39733255780625526,48520-19075
3,Menores,0.3649494928604943,48520-29285
5,Remolques y SemiR,0.36924772167729153,48520-29285
6,Hibridos y Electricos,-0.365582677217822,48520-29285
6,Livianos,0.36346758568541315,48520-52010
6,Menores,0.5940913422295725,48520-52010
6,Pesados,0.4112062980781308,48520-52010
7,Remolques y SemiR,-0.3298055153060153,48520-bz750
6,Menores,0.35479428703236904,4852009m80
6,Pesados,0.33863303016816715,4852009m80
4,Remolques y SemiR,0.41687815925885746,48530-02130
7,Livianos,-0.35242330145150674,48530-02130
7,Menores,-0.38407402509255056,48530-02130
7,Pesados,-0.32554490344493586,48530-02130
0,Hibridos y Electricos,-0.5252682672036257,48530-02180
4,Remolques y SemiR,0.5367714700019343,48530-02180
7,Livianos,-0.3590809854637142,48530-02180
1,Hibridos y Electricos,-0.39717885265288116,48530-16380
1,Pesados,-0.31452433851587375,48530-16380
2,Remolques y SemiR,0.33658701243732203,48530-16380
1,Hibridos y Electricos,-0.5222149263248312,48530-52051
4,Remolques y SemiR,0.5431433651513632,48530-52051
7,Livianos,-0.4010333368090651,48530-52051
7,Pesados,-0.4017512691377667,48530-52051
0,Hibridos y Electricos,-0.3446259259354048,48530-52b00
0,Remolques y SemiR,0.3542270879922628,48530-52b00
4,Hibridos y Electricos,-0.3420780470955779,4853002700
5,Remolques y SemiR,0.30301733794980934,4853002700
3,Hibridos y Electricos,0.44063656765213594,48531-09840ref
5,Livianos,0.4586544268482693,48531-09840ref
5,Menores,0.4124547127205259,48531-09840ref
5,Pesados,0.34078167884718163,48531-09840ref
7,Remolques y SemiR,-0.5714324693986235,48531-09840ref
0,Remolques y SemiR,0.4723148691896305,48531-35190ref
1,Hibridos y Electricos,-0.5025257406063677,48531-35190ref
1,Livianos,-0.3508639116538296,48531-35190ref
1,Pesados,-0.3437474467866189,48531-35190ref
6,Menores,0.36087151088382774,48531-35190ref
1,Hibridos y Electricos,-0.546718222336239,48531-36100
2,Remolques y SemiR,0.5332329952110606,48531-36100
4,Livianos,-0.3145509072093894,48531-36160
4,Pesados,-0.32428331571085856,48531-36160
5,Remolques y SemiR,0.48167672354306906,48531-36160
7,Hibridos y Electricos,-0.5047958851532636,48531-36160
1,Livianos,-0.4744852506441684,4853109450
1,Pesados,-0.44485636234069553,4853109450
2,Remolques y SemiR,0.6449162731526309,4853109450
6,Hibridos y Electricos,-0.5252539376607842,4853109450
6,Menores,0.4185048843487961,485310r010
0,Hibridos y Electricos,-0.44127259452209117,48540-02120
1,Pesados,-0.39120447286543886,48540-02120
4,Remolques y SemiR,0.6330119094784187,48540-02120
7,Livianos,-0.38129544054182785,48540-02120
7,Menores,-0.36109548179920675,48540-02120
5,Livianos,0.30016135006204414,48541-09210ref
6,Hibridos y Electricos,0.3300159818193987,48541-09210ref
7,Remolques y SemiR,-0.4031243931762442,48541-09210ref
6,Remolques y SemiR,0.42386918046582733,48680
7,Hibridos y Electricos,-0.42123047524029095,48680
0,Livianos,-0.40350272028168443,48700
0,Pesados,-0.38277664813920764,48700
1,Remolques y SemiR,0.5557150299174736,48700
2,Hibridos y Electricos,-0.44182672658264266,48700
5,Livianos,-0.36288089243639743,48702
5,Pesados,-0.3140195824699685,48702
6,Livianos,-0.31174703580963764,48881
1,Livianos,-0.3596198184189069,48904
1,Pesados,-0.31403641286497613,48904
2,Hibridos y Electricos,-0.51840817268085,48904
2,Remolques y SemiR,0.5204819311090354,48904
4,Hibridos y Electricos,-0.35239382422526855,48951
4,Remolques y SemiR,0.43360586378369437,48951
0,Remolques y SemiR,0.37310922934297247,48991
2,Remolques y SemiR,0.31034403582455117,54302-54y00
0,Remolques y SemiR,0.4753955218445218,54302-5m400
4,Hibridos y Electricos,-0.35609979789524776,54302-5m400
6,Menores,0.31143730299476435,54302-5m400
2,Remolques y SemiR,0.332716946080058,54303-54y00
6,Menores,0.3445717536926611,54303-5m400
6,Remolques y SemiR,0.4524227073664226,54303-5m400
3,Menores,0.4508179871038599,54650-1r001
5,Hibridos y Electricos,0.37762531997154963,54650-1r001
5,Livianos,0.612462428279606,54650-1r001
5,Pesados,0.5233674674625741,54650-1r001
7,Remolques y SemiR,-0.3365590830517377,54650-1r001
4,Menores,0.39849079068963666,54650-1y200
5,Pesados,0.3324395928268996,54650-1y200
7,Livianos,0.34693058033218366,54650-1y200
1,Livianos,-0.3775772147486105,54650-24120
1,Pesados,-0.346307417951399,54650-24120
3,Remolques y SemiR,0.5079858097595041,54650-24120
