year,month,Hibridos y Electricos,Livianos,Menores,Pesados,Remolques y SemiR,Neumáticos,Lubricantes,Partes de Motor,Filtros,Otros consumibles,Partes eléctricas,Sistema de transmisión,Partes de carrocería,Sistema de frenos,Baterías,Sistema de suspensión,Accesorios,Ruedas y sus partes,Productos de caucho,Sistema de dirección,Sistema de enfriamiento,Ejes y diferencial,Sistema de escape
2020,1,51.0,14420.0,25197.0,1381.0,410.0,42227182.18699999,27620231.92900001,26562404.464999672,11332140.969000034,9689896.558000011,7978629.670999973,7348634.381999939,5743919.945000052,4106407.664000006,3827787.8020000057,2862318.4939999995,2486253.9499999997,1526067.3440000003,2104315.5100000068,1828623.4620000015,1200065.895999999,1454949.9520000005,514298.71800000034
2020,2,53.0,12753.0,22494.0,1137.0,334.0,28193640.444000006,19246469.741000034,22669114.332999974,10913941.258999903,7758574.813000027,6279245.146999951,5547367.258999994,4817300.1050000135,3332410.839000002,2906918.5410000086,3075611.8779999902,2302485.4750000024,1898314.5360000003,1730286.2249999961,1530739.7080000017,978654.869,1065694.5939999993,692901.9290000008
2020,3,42.0,7084.0,12592.0,580.0,183.0,20032850.525999963,25942331.454000026,14902676.910999987,9766124.235999977,5257737.065000016,3522525.1219999767,6602512.565999995,3065837.693000003,2327674.7100000065,1932872.809,2024623.604999998,1919918.7310000008,1037609.5729999979,1260022.2430000014,693044.502,381527.23300000007,859822.4980000003,264183.0020000002
2020,4,42.0,7084.0,12592.0,580.0,183.0,30071086.519,25700132.463999946,12504052.30199996,8769316.910999982,6116746.4080000315,3219998.0319999848,5497469.739000014,2786905.5720000234,2458361.3090000045,1391027.8340000026,1896856.959000001,1117306.9210000006,883819.5330000004,1015749.4980000092,622813.9059999997,518195.52299999964,634857.9400000006,235871.41100000014
2020,5,42.0,348.0,185.0,27.0,7.0,28501290.85300006,12417803.495000008,12363045.290999861,13424336.709000036,6006915.793000023,3592462.824999991,3864737.8609999875,4227755.511999988,1914440.7010000036,1587255.4209999985,1132746.439999997,1670601.4749999987,1511083.0020000008,1219568.6769999976,622659.1730000004,549842.1970000002,426656.089,134154.03499999995
2020,6,44.0,4853.0,7058.0,407.0,116.0,28167948.67199996,5744510.934000003,11950010.209999938,6939383.242000009,4211668.741000002,3344439.041000011,5664754.922000007,2099992.5140000028,1564510.3700000066,2023532.895000001,1297854.1189999986,1227587.1049999988,898503.8119999998,929324.9260000048,296692.444,585116.6810000009,660986.2880000004,123883.33400000006
2020,7,63.0,9573.0,30927.0,1470.0,648.0,30695555.05299999,7261501.991999993,13874116.760999937,7580671.786000008,6001569.627999973,4177296.9759999854,4151533.1350000016,2278644.181000004,1623890.1889999988,2939450.2859999975,1267688.3729999994,1305035.9489999984,1238195.896999999,938931.7649999986,689878.358000001,619091.154,595029.9969999999,234478.83600000004
2020,8,49.0,10766.0,34160.0,1630.0,622.0,32173585.301999997,10206603.910000004,16107259.425000003,7560016.778999999,5098220.403999999,4118721.185,4800997.290999999,3300417.637,2685838.8439999996,3149008.105999997,1552575.1749999998,2056885.7440000006,1201638.0280000009,1329704.6700000004,1263293.992,881538.5139999997,617022.399,353087.8319999995
2020,9,46.0,12667.0,43816.0,1894.0,820.0,31286306.69299998,23037101.531999994,16801688.48800001,11037159.404000007,6158620.5399999935,5266588.699000002,4342221.145999996,4059111.695000003,2739949.0490000006,4681872.059000001,1816751.508,1925234.0649999997,1226676.0259999994,1187370.9160000002,775318.226,399066.0260000006,862275.348000001,415629.24699999974
2020,10,71.0,13659.0,42958.0,1653.0,759.0,32119640.43700005,24530983.615000006,22114132.73199999,14504993.547000008,7877499.026000002,5548289.801000005,5056597.616,3712673.2760000015,3064106.0370000023,4972877.119000009,2632669.9379999954,2231958.7970000003,1387649.8679999989,1463495.7009999985,1168061.9799999995,1190377.3429999992,1028762.2340000002,460858.2520000001
2020,11,66.0,13447.0,34940.0,1471.0,603.0,33241895.467999984,27398749.909,23691303.26400001,11848399.758000003,7410422.0069999965,6622387.200999994,7158695.661000002,4127428.019000002,3178128.209000002,4579457.964999996,2155989.712000003,2042407.2069999997,1575736.0419999987,1925667.1240000003,1250029.3639999998,885873.4119999983,667875.3260000001,468213.34799999994
2020,12,93.0,12611.0,31334.0,1259.0,490.0,42661220.70199997,28654840.184000053,26713960.35999998,13660009.32099999,9000252.104000002,6825762.567999993,7624271.552999993,10078498.036000034,4021776.7709999974,4553686.954999989,3074228.042000002,3056778.396999999,2481508.4089999995,2029189.3909999994,1484711.508999999,1253722.2859999961,1211394.8490000025,394687.1270000001
2021,1,78.0,12563.0,33050.0,1386.0,592.0,36060012.18399998,24853709.780999992,23694331.155,13289581.240000019,7795996.803000008,8264380.491000001,5658656.677000001,5204001.108000004,4109967.5160000054,4167451.7739999993,3231198.344999995,2124376.585,1404507.135,1488067.144,1202535.7309999997,644506.3700000007,775065.8239999994,449539.4620000004
2021,2,43.0,10004.0,28401.0,1252.0,509.0,40320324.17000001,29149720.118000016,24352354.98999999,12633861.075999996,9005371.143,8155407.516999999,6292154.087999994,7680204.737000007,3010441.7950000013,4907621.439999989,4359971.215999998,2349960.768,2168907.318999999,2529149.9620000017,1364781.7459999996,1428415.077999999,987329.5980000001,526721.4289999999
2021,3,83.0,13150.0,42441.0,1763.0,691.0,37568268.33400001,27835104.876999997,29313840.448,15689843.870000014,10226668.408999996,7090841.858999996,6735574.123999996,5329167.558999989,3799807.2660000003,4931140.996999996,3894593.857,3049526.2369999993,1773699.3659999976,2412759.063,1655592.386,782218.5189999987,1101454.9500000004,582953.9149999999
2021,4,106.0,11695.0,37006.0,1198.0,599.0,44895771.30099998,33034873.631000027,24440553.091000006,13701128.081,9241805.227999987,5631977.904,6593524.526000004,5397374.985999995,3456784.117999999,3580064.7469999907,3030639.0570000005,1943000.562,1395154.3749999974,1887870.1830000011,1175577.6420000005,754147.5589999998,1088835.7770000002,508516.8469999996
