sku,rfm
srb-128,3
sddw-508,2
a-5507-s,3
dtt225/65r17,3
3341-8530skr,1
t1134,0
tki001,0
schd-458,1
48602,2
s-lapiceros,1
ctx-115a,3
t1070,3
54303-jg000,1
sfc-55170,2
a-1927,2
880954,2
sm020,0
11666,1
c-1922,3
c005,2
17061,0
339339,2
c-1013,3
hy-620,3
ctx-065,1
884558,3
t007,3
a-8604-s,3
sk16fa-e,1
55311-2s400,2
p2560cf5500,1
skf-6205-2rshc3,1
17182,0
48531-09840,2
dttmlt245/75r17,1
rxfc113661bep,2
ghm3030dd,1
a-69130-s,3
ca-10150,3
a-1169,2
rxfc113641b,3
mr-992321,3
c-6204,3
500-2c,1
cdx-019a,3
sk015,3
18048,3
a-6117-s,3
as-5412,1
dt185/70r14,3
c-4906,1
eo-28090,3
11411/exp,0
bdd021,3
48328,3
dt185r14c,2
17631,3
48026,0
cf-100/1,1
a-7620-s,3
bf5000m3,3
t041,1
ni-007,0
to-808,3
sdhd-649,2
rov2050100,3
icd1544,2
pe20500254t,1
af2000/gxf,1
srb-156,3
cf-1940,2
t019,3
sp-2081-2,1
rhy002,1
sfc-7103-30,3
a-33950,1
di1540ci500,3
icd1210,2
a-38150-s,2
c-1318,3
a-1818,3
c-1552,2
hy042,3
ky01-34-700a,2
4851009u70,3
dt-064,3
tto032,1
54302-5m400,3
n016,3
tni012,1
t1048,2
ni-003,2
fc-10290,3
hy031,3
cf-1650,2
eo-18210,0
w16ex-u,3
95032448,3
ki-002,3
a-28690,3
48358,3
ca-1810,2
41800a78b00,2
17941,0
922380213,1
ctx-062,3
17327,0
c-10026,3
ef-2636,3
dt-073,1
c-71060,3
a-1050,3
dt215/65r16c,2
thy006,0
p-1234,0
icd2038,1
96408735,3
sk021,3
to-844,3
553512d000,3
c-1328,3
54650-d4000,2
p-707x,0
tkl10028a,0
a-28550,3
ddx-041a,2
w16exr-u11,0
icd1848,2
dt165r13c,1
t1143,2
cf-600/1,3
a-1128,2
t1100,2
icd1354,1
icd1345,2
41601-58m00,3
mz001,3
4060a066,1
as-5628-s,3
c-25710/3,1
a-5107-s,3
sf-1913-30,1
c-5106,3
48520-bz750,3
sdgm-565,2
eo-2623,3
ge001,2
bz0002,1
petracto500,1
w-11025,3
ca-28300,2
07742,0
ahy003,0
a-71590,1
5u0413031,3
vterm5500,1
1000-5ax,1
24569,0
a-2709-s,3
cf-2631,3
t1103,2
48881,3
a-71130,1
dt195/50r15,1
scki-349,1
sfc-7939-30,3
hy-824,3
sb005,2
bto013,2
68196,3
55311-2s000,3
48321,3
efg-1002,3
a-19890,1
tks58-50k,2
726680398l,1
ur001,0
sk008,3
h947/1,2
55311-2h000,3
hu-618x,0
srto003,2
to-015,3
726680398r,1
54661-c5000,1
182-s,0
icd1423,2
48540-0d570,3
icd1661,2
sfc-31010-10,3
48351,3
g15400500,3
cf-2135,3
48530-52440,2
ca-1402,1
ahy005,1
a-58370,3
rhy010,0
5611076000,3
dt225/75r16c,2
a-58410-s,3
aho001,1
a-65510,3
50017715,0
b45a34700,2
cf-2000/1,1
hy029,2
99939,3
c-1121,3
41802-59j10,3
icd1942,2
54660-2k000,2
54660-1r001,3
sfc-5509-10,2
sb-022,2
o-2629,2
g15405500,1
sm11r22.5,1
a-38050-s,3
mi003,3
sk18fa-e,1
c-5713,3
pgca5003,1
4852042080,0
sk014,2
a-5573-s,3
mi-5005,2
48750,2
pra300500,3
opt-025,3
a-8553-s,3
mi-013,3
hy030,3
c007,3
55310-g6200,3
c-1717,3
543020322r,3
hu-1077/2x,2
17314,1
tda001,1
tto029,2
p2550cf500,2
ch012,2
icd1094,1
to-027,3
hy017,3
ani007,2
as-6203-2rsc3,0
bz0001,3
schd-350,2
3330084,3
ca-2808,2
rxfc113644bep,3
a-71160,2
01551,1
91359960,1
ni-049,3
09380,0
18033,3
thy003,1
rov1030100,2
ef-18050,3
b45a34900,2
hy053,3
to-813,3
dttmlt245/75r16,1
a-1143,2
eo-66020,3
fc-1005,3
tkl-a-1000s,2
w-1265,2
asz001,0
t021,3
54303-ed002,2
333831,3
w16fp-u,0
icd1184,2
a-1058,2
icd1225,1
opt-032,2
k16r-u11,3
c-1138,1
54302-70n00,3
060677020,0
ch-004,3
ef-1301,3
tmi002,1
q16pr-u11,0
48510-12750,3
bdd024,2
t033,3
hy039,3
atfd30025,3
546612d000,3
20360fa050,1
b32t34700c,3
ef-1801,3
dt225/65r17,1
esu002,0
dp12.00r20,1
ami002,1
pe1540ci5500,1
54302-jg000,1
a-5541-s,3
rov1030sn5500,2
n012,3
a-33740,3
a-8506-s,3
48039,0
082953005,3
884646,3
wk-1156,2
ctx-125,2
xu22epr-u,3
48901,3
b20500100,3
hu-1077/2z,1
zd1567,3
ef-8301,0
54660-g6250,3
a-5801-s,3
cf-1510/1,2
082966090,1
h75905500,2
tkl22012,2
54303-1n310,3
icd1188,2
kn47001,3
333741,3
dt225/45zr18,2
tto024,1
sm019,0
dt165/65r14,2
a-1946,1
bdd028,3
tto002,1
sdki-297,1
ckn-500-lt,2
48702,3
55311-d4200,1
rni011,0
rov85140025,0
p851405500,2
17927,0
93369970,1
af9033mv,3
scki-448,3
dtp205/60r16,2
rhy007,0
a-68380-s,3
thy018,1
hd295/80r22.5,1
opt-044,2
ca-17160,2
ca-18360,2
pp103000100,3
n005,3
afc11100/f,1
11733,0
a-1433,3
wk-1060,3
c-1112,3
rxfc113641bep,3
lmd235/75r17.5,1
a-57400-s,1
48056,0
bto021,2
a-1088,3
ca-28261,2
dpo12.00r20,2
17177,3
333839,1
41700-63010,2
48510-12d20,3
icd684,3
p1540ci5500,3
rov1040025,2
rda001,1
ca-11380,3
icd924,1
cf-500/1,3
54660-b2100,2
dtlt265/70r16,2
20313aa100,3
543038h600,1
48040,3
k16pr-u11,2
op-011,2
17131,2
h80900025,3
t003,3
as-1825,3
17102,0
12928,1
a-61480,2
c-20325/2,2
c-31070,3
a-14460,2
tto021,3
5461-9836skr,2
07660,0
eo-13070,3
a-7124,3
a-1142,2
ni-080,3
17063,1
c-261100,2
aty001,1
k20tr11,1
dt235/60r18,1
t024,3
ahy010,0
17643,3
w-917,2
rov2050025,2
884721,3
ch006,1
54303-70n00,3
a-1324-s,3
ca-1801,2
a-6118-s,3
48540-02120,3
eo-6507,2
hy048,3
20313aa110,3
sk-823a,3
822348,2
fs-8007,0
mz-012,3
w16ex-u11,1
sm028,0
mr-151227,1
eo-2626,3
wdk-11102/28,2
rto005,1
ato-002,3
fc-7104,1
tni011,0
12793,1
hy051,3
mg550,1
skf-6203-2rshc3,0
wk-1124,2
mi-002,3
icd440,0
sf-1911-2,3
pu-999/1x,3
tni001,0
tki004,1
icd1471,3
ch002,3
89084810,1
enr17916,1
ema002,1
tkl47015,1
a-28620,2
896749,3
sk21fa-e,1
48067,1
348083,3
icd1212,2
r10300025,3
48531-b4010,1
paw68r500,3
3461-8553skr,3
a-33850,1
a-2935,3
by-001,3
aty013,2
eni008,0
54650-g6250,3
fc-5509,0
mr197433,2
c-271340,3
c-2807,2
w-9023/1,2
ctx-084,2
a-3306,3
rov8090025,1
ge-007,3
enr17631,0
fc-1104,3
hy056,1
rto009,1
ehy002,1
4852009m80,3
rto016,0
060677000,0
bdd031,3
k20pr-u,0
fc-1002,2
cf-400/1,3
rch001,1
17311,0
sk012,2
mg331,1
a-1177,3
a-8904,0
k16r-u,1
hy047,3
f-11112,3
c-1314,3
thy005,1
96407820,2
48004,2
t025,1
c-1202,0
27060-0l150,1
ctx-014,2
17037,3
f-1507,3
bdd010,3
sf-1912-30,3
54303-54y00,3
cmt-142,2
800028110000,1
rto010,1
tkl4075c,0
dtl12-16.5,1
k003,3
120205,1
100-2c,1
c-2105,3
t1081,3
zd976,2
t1063,1
54661-a0100,2
17097,3
rmi001,2
ctx-110,1
g20w50025,3
fc-1020,1
a-71490-s,2
schd-514,3
2901410u8010,2
dttmlt265/70r16,3
49027b,0
to-721,2
c-5717,2
96424025sp,2
tkl452710,0
sdhd-519,3
48531-26220,2
ef-15131,2
skhd-6449-lb,2
sm039,0
mf-fh12,1
3410014,3
ni-046,3
ef-5102,3
dt175/65r14,2
a-6207-s,3
bhy005,2
tch004,1
dt265/70r16,2
48994,2
48510-52790,3
enr48881,1
icd1519,2
09114,0
to-839,2
675130,3
48320,3
srmi002,2
546512d000,2
c-18450/1,1
a-7980,3
skf-6202-2rshc3,0
ehy008,1
28100-0l200,1
af6210/fh,3
ptracto500usr,2
4853109450,3
sk011,2
op-001,2
tkl24024,0
a-1431,1
a-28770-s,2
ni-009,3
54302-50a00,2
55311-38601,2
o-1805,2
eo-1702,2
hy003,3
4851042080,0
sm034,0
50017788,0
r2050sn5500,2
sfc-89010,2
48530-20820,2
hy-010,1
a-5331-s,3
48510-0d591,3
48728,3
b1004,0
d04a34700c,2
n019,3
eo-18060,1
scki-339,1
a-1833,3
48520-12c20,3
eni002,0
ahy001,1
p-811,1
hu-945/2x,2
fs-8001,2
861800,2
c-29010kit,1
41601-71l20,3
a-2414,2
hy028,1
sk022,1
tsz004,0
c-1025,3
96424026sp,2
ahy012,0
c-1404,1
dt215/70r16,1
ctx-088,3
339338,1
a-14490,3
5466007100,3
enr17177,1
48269373,0
dttmlt265/70r17,3
bdd040,2
a-5662-s,3
dtmlt275/70r18,1
p809005500,2
thy008,1
099830025,0
tto027,2
fc-1814,3
17316,2
aty011,1
ch010,3
bni006,2
sf-1307,3
k16pr-u,1
48520-02150,3
icd1157,1
eo-1801,3
f-1110,1
a-1959,2
01427,0
3221-8512skr,2
bz0010,1
dt175/70r14,1
48700,3
fc-7102,2
a-5025-s,3
a-1878,2
h-12110/2x,3
fs-26080,2
sm024,1
eo-2624,3
rhy006,0
20360fa040,1
17051,1
41810-58m00,2
48222,2
48510-12750-r,3
c-1002,1
fc-2801,3
ni-044,3
ca-1112,3
a-7101-s,3
f-10200,1
sfc-1306-30,3
t010,3
c-341500/1,1
tmi001,1
17171,3
800028210000,1
to-007,2
332152,3
icd242,2
48530-52b00,3
t1082,3
54661-a7400,3
a-2839,2
ehy006,1
90373164,1
sk018,3
ni-032,3
a-5828,2
icd668,2
48092,1
a-1880,3
eo-1802,1
h-601/10,2
mi-2351a,1
pk1540ci500,2
tto004,1
opt-115,2
a-1068,2
54302-54y00,3
aty009,0
tni013,1
o-5302,1
dtp215/70r15c,2
a-45100-s,1
a-1117,2
as-1014,2
sfc-55280,1
48078,3
100-4m40t,1
icd1592,1
stm11r22.5,1
b10300025,3
c-15300,2
3340048,3
3461-1011skr,3
w-962,3
tto028,2
884569,3
enr17919,1
54660-d4000,2
54660-c7200,3
a-1728,2
t1135,0
c-65400,3
a-5444-s,3
55300-1m300,3
sfc-7912-30,3
bto001,2
c-2103,2
ctx-124a,1
ef-1003,3
pl-420x,1
hy055,3
54660-1y200,3
48540-20820,2
sf-1911-30,2
48530-02180,3
ch001,3
c-17308,2
rp1030100,3
wk-950/14,3
zxru1,3
dt-063v,1
sb-010,2
a-25490,2
a-71300,1
c-1805,2
a-1864,3
p2550cf5500,1
t1001,2
eo-31070,2
pk16tt,1
dttlt245/75r16,2
srto005,2
ef-31090,3
af12097m,1
ctx-151,2
sat-017,1
skki-253,1
cf-1000,2
a-22380-s,3
48541-09210ref,3
48991,3
ety003,2
553612d000,3
41602-58m00,3
a-65620,2
pglaz5003,1
wk-962/7,3
861398,3
hy046,3
wpt-168va,1
tki002,0
48510-20010,3
ef-13021,3
p1540cip5500usr,1
95077491,2
884527,3
sm029,1
ety001,3
a-42610,3
o-1012-s,2
icd976,3
90904863,3
a-13530-s,3
a-3301,3
17027,0
c004,3
c-1511,3
48510-52031,3
fc-1009,2
485100d851,3
tto006,1
a-28530,3
c-1109,3
54650-c7200,3
88476810,1
skgm-276,1
t005,3
48541-09210,2
ca-28180-s,2
ni-012,3
139305037,1
55310-a0000,3
a-6709-s,3
48625,2
dtxlt265/70r16,2
wk-1080/7x,2
t1096,1
a-2405-s,3
bf6000m3,3
to-843,3
a-1876,3
as-6905-s,3
t1059,1
icd2289,2
18032,3
ca-28160,2
bni002,1
re-016,2
eo-17030,3
fs-18290,3
hc-7920,3
54303-50a00,2
paw68a5500usr,1
as335sp-m1,0
sk013,2
96187438,2
mi005,2
enr48901,0
332153,3
thy002,1
54651-22000,2
dt-100v,3
07369,0
4060a397,3
fs-1804,1
a-5509-s,3
c-5816,3
af6300/2f,1
48510-8z205ref,3
3340047,3
dt235/60r17,2
ki-001,3
xe20hr-u9,0
a-28990,2
rni009,0
bto016,3
t1109,1
c-1815,1
re002,3
paw68a500,3
ef-83030-s,2
55351-22100,3
as-608-2rs,0
t009,3
nsk-58tkz3504a3ra,1
11811,0
18038,3
54661-22000,2
ca-18250,3
hy008,3
sk-801,2
t023,3
w-11102/34,1
tch003,1
a-1000s,2
cmt-150,2
mi-012,2
h80900500,1
sfc-79410-30s,2
sk-610,3
a-6706-s,2
h85140025,1
novar#1,3
87987560,0
thy004,1
54302-ed002,2
48420,1
sk006,3
ca-29040,2
a-66130,2
ef-65030-s,3
48530-16380,3
m25600025,3
41602-59j10,2
tni010,2
d25600100,1
skki-138,1
082952014,2
dtxlt265/60r18,2
a-1126-s,3
rov1540100,2
54651-2h000,3
726680404r,3
a-5658-s,1
dt-628,3
rhy008,1
54650-4h600,3
fs-31140,2
rov1030025,2
zd1592,1
cp-23210,3
tkl23016,3
af2033,2
sdki-440,2
17916,3
a-1423,2
k010,3
rovatfd100,1
48510-02150,3
a-17860,3
bmi001,3
ts22,0
fc-1001,3
