Descripcion,mes,value,year,fecha
Neumáticos,1,28939278.93,2016,2016-01-01
Lubricantes,1,17326493.970000003,2016,2016-01-01
Partes de Motor,1,20745067.299999997,2016,2016-01-01
Filtros,1,9440784.7,2016,2016-01-01
Otros consumibles,1,9496010.27,2016,2016-01-01
Partes eléctricas,1,6711027.060000001,2016,2016-01-01
Sistema de transmisión,1,5446141.680000001,2016,2016-01-01
Partes de carrocería,1,5724765.58,2016,2016-01-01
Sistema de frenos,1,3120595.5300000003,2016,2016-01-01
Baterías,1,3034795.55,2016,2016-01-01
Sistema de suspensión,1,2475971.56,2016,2016-01-01
Accesorios,1,2266551.86,2016,2016-01-01
Ruedas y sus partes,1,2211418.38,2016,2016-01-01
Productos de caucho,1,1498657.5499999998,2016,2016-01-01
Sistema de dirección,1,1648735.24,2016,2016-01-01
Sistema de enfriamiento,1,893063.6,2016,2016-01-01
Ejes y diferencial,1,730294.1399999999,2016,2016-01-01
Sistema de escape,1,331485.59,2016,2016-01-01
Neumáticos,2,34531072.050000004,2016,2016-02-01
Lubricantes,2,21825762.49,2016,2016-02-01
Partes de Motor,2,17662143.639999997,2016,2016-02-01
Filtros,2,8524450.530000001,2016,2016-02-01
Otros consumibles,2,6558627.699999998,2016,2016-02-01
Partes eléctricas,2,5394041.01,2016,2016-02-01
Sistema de transmisión,2,4397926.289999999,2016,2016-02-01
Partes de carrocería,2,4504539.42,2016,2016-02-01
Sistema de frenos,2,2821953.64,2016,2016-02-01
Baterías,2,1923435.42,2016,2016-02-01
Sistema de suspensión,2,2163862.19,2016,2016-02-01
Accesorios,2,2103061.97,2016,2016-02-01
Ruedas y sus partes,2,1439949.35,2016,2016-02-01
Productos de caucho,2,1601373.37,2016,2016-02-01
Sistema de dirección,2,1122797.43,2016,2016-02-01
Sistema de enfriamiento,2,726710.5499999999,2016,2016-02-01
Ejes y diferencial,2,594637.86,2016,2016-02-01
Sistema de escape,2,417333.68,2016,2016-02-01
Neumáticos,3,29020374.640000004,2016,2016-03-01
Lubricantes,3,22060959.130000003,2016,2016-03-01
Partes de Motor,3,18858944.35,2016,2016-03-01
Filtros,3,10623270.74,2016,2016-03-01
Otros consumibles,3,7309652.57,2016,2016-03-01
Partes eléctricas,3,4611063.19,2016,2016-03-01
Sistema de transmisión,3,4419227.1899999995,2016,2016-03-01
Partes de carrocería,3,5613821.849999999,2016,2016-03-01
Sistema de frenos,3,2574873.05,2016,2016-03-01
Baterías,3,2047992.24,2016,2016-03-01
Sistema de suspensión,3,2415552.12,2016,2016-03-01
Accesorios,3,2220660.77,2016,2016-03-01
Ruedas y sus partes,3,1580289.6,2016,2016-03-01
Productos de caucho,3,1286675.71,2016,2016-03-01
Sistema de dirección,3,1049109.49,2016,2016-03-01
Sistema de enfriamiento,3,733498.86,2016,2016-03-01
Ejes y diferencial,3,657415.2,2016,2016-03-01
Sistema de escape,3,508310.86,2016,2016-03-01
Neumáticos,4,33971793.99000003,2016,2016-04-01
Lubricantes,4,23783691.450000014,2016,2016-04-01
Partes de Motor,4,17430539.300000016,2016,2016-04-01
Filtros,4,11861681.45999999,2016,2016-04-01
Otros consumibles,4,7726021.209999999,2016,2016-04-01
Partes eléctricas,4,4157780.8400000082,2016,2016-04-01
Sistema de transmisión,4,5942205.410000008,2016,2016-04-01
Partes de carrocería,4,4028867.069999999,2016,2016-04-01
Sistema de frenos,4,2571246.660000004,2016,2016-04-01
Baterías,4,2124121.4799999986,2016,2016-04-01
Sistema de suspensión,4,2521106.829999995,2016,2016-04-01
Accesorios,4,1536291.3800000008,2016,2016-04-01
Ruedas y sus partes,4,1325565.509999999,2016,2016-04-01
Productos de caucho,4,1628044.6,2016,2016-04-01
Sistema de dirección,4,1020076.7700000005,2016,2016-04-01
Sistema de enfriamiento,4,555895.0899999997,2016,2016-04-01
Ejes y diferencial,4,791419.4600000014,2016,2016-04-01
Sistema de escape,4,670681.8499999994,2016,2016-04-01
Neumáticos,5,36038329.34999999,2016,2016-05-01
Lubricantes,5,17722265.869999994,2016,2016-05-01
Partes de Motor,5,19361364.02000001,2016,2016-05-01
Filtros,5,8499105.050000006,2016,2016-05-01
Otros consumibles,5,8602864.059999986,2016,2016-05-01
Partes eléctricas,5,5371489.239999999,2016,2016-05-01
Sistema de transmisión,5,4252538.979999999,2016,2016-05-01
Partes de carrocería,5,4096664.39,2016,2016-05-01
Sistema de frenos,5,3121319.950000002,2016,2016-05-01
Baterías,5,2376212.0600000033,2016,2016-05-01
Sistema de suspensión,5,1863660.4600000018,2016,2016-05-01
Accesorios,5,2181246.270000001,2016,2016-05-01
Ruedas y sus partes,5,2232599.190000004,2016,2016-05-01
Productos de caucho,5,1213950.7999999998,2016,2016-05-01
Sistema de dirección,5,1278799.1899999995,2016,2016-05-01
Sistema de enfriamiento,5,572725.6600000003,2016,2016-05-01
Ejes y diferencial,5,621783.199999999,2016,2016-05-01
Sistema de escape,5,440277.89999999944,2016,2016-05-01
Neumáticos,6,31428638.9,2016,2016-06-01
Lubricantes,6,21301117.71,2016,2016-06-01
Partes de Motor,6,18158602.890000004,2016,2016-06-01
Filtros,6,9324414.469999999,2016,2016-06-01
Otros consumibles,6,7584138.15,2016,2016-06-01
Partes eléctricas,6,5308306.87,2016,2016-06-01
Sistema de transmisión,6,4159362.24,2016,2016-06-01
Partes de carrocería,6,4615243.78,2016,2016-06-01
Sistema de frenos,6,2306121.2,2016,2016-06-01
Baterías,6,2531441.53,2016,2016-06-01
Sistema de suspensión,6,1701811.8699999999,2016,2016-06-01
Accesorios,6,1756200.75,2016,2016-06-01
Ruedas y sus partes,6,1769489.53,2016,2016-06-01
Productos de caucho,6,1538829.7999999998,2016,2016-06-01
Sistema de dirección,6,969190.8200000001,2016,2016-06-01
Sistema de enfriamiento,6,623572.21,2016,2016-06-01
Ejes y diferencial,6,606758.71,2016,2016-06-01
Sistema de escape,6,273189.97,2016,2016-06-01
Neumáticos,7,35176849.76,2016,2016-07-01
Lubricantes,7,20499018.39,2016,2016-07-01
Partes de Motor,7,18711953.34,2016,2016-07-01
Filtros,7,11118024.270000001,2016,2016-07-01
Otros consumibles,7,6989926.589999999,2016,2016-07-01
Partes eléctricas,7,6077268.97,2016,2016-07-01
Sistema de transmisión,7,4479784.83,2016,2016-07-01
Partes de carrocería,7,5193367.709999999,2016,2016-07-01
Sistema de frenos,7,2730209.26,2016,2016-07-01
Baterías,7,2968638.2600000002,2016,2016-07-01
Sistema de suspensión,7,2487952.1100000003,2016,2016-07-01
Accesorios,7,1928754.53,2016,2016-07-01
Ruedas y sus partes,7,1381867.1,2016,2016-07-01
Productos de caucho,7,1219952.96,2016,2016-07-01
Sistema de dirección,7,1357291.45,2016,2016-07-01
Sistema de enfriamiento,7,597910.89,2016,2016-07-01
Ejes y diferencial,7,1042307.1499999999,2016,2016-07-01
Sistema de escape,7,525659.34,2016,2016-07-01
Neumáticos,8,37253333.64,2016,2016-08-01
Lubricantes,8,22312637.340000004,2016,2016-08-01
Partes de Motor,8,19998640.520000007,2016,2016-08-01
Filtros,8,10940894.83,2016,2016-08-01
Otros consumibles,8,8099588.2,2016,2016-08-01
Partes eléctricas,8,6169755.24,2016,2016-08-01
Sistema de transmisión,8,8344531.47,2016,2016-08-01
Partes de carrocería,8,6096755.550000001,2016,2016-08-01
Sistema de frenos,8,3197833.2600000002,2016,2016-08-01
Baterías,8,3537733.87,2016,2016-08-01
Sistema de suspensión,8,2624243.65,2016,2016-08-01
Accesorios,8,2540932.36,2016,2016-08-01
Ruedas y sus partes,8,1525128.45,2016,2016-08-01
Productos de caucho,8,1443041.9899999998,2016,2016-08-01
Sistema de dirección,8,1195640.71,2016,2016-08-01
Sistema de enfriamiento,8,723659.85,2016,2016-08-01
Ejes y diferencial,8,628078.83,2016,2016-08-01
Sistema de escape,8,396874.82,2016,2016-08-01
Neumáticos,9,32314831.260000005,2016,2016-09-01
Lubricantes,9,18719212.95,2016,2016-09-01
