,fuente_suministro,venta_usd
0,aisin - japon,327079.8183333333
1,birene - cigueñales-culatas-ejes de levas,29.195000000000004
2,corteco - brasil,9.459999999999999
3,deestone,76235.02333333333
4,denso - bujias - japon,6023.363333333334
5,deruibo,20222.286666666667
6,enertech - encendido,120.91333333333334
7,enertech - iluminacion,17128.72333333333
8,exedy - japon,21785.24
9,german cardan - t v a - crucetas,90.39666666666666
10,ghm - filtros,5736.794999999999
11,ghm - frenos de aire,5235.985
12,gmb - bombas de agua,8.191666666666666
13,goetze,10.928333333333333
14,ishikawa - cigueñales-culatas-ejes de levas,3374.2683333333334
15,ishikawa - discos de freno,23645.186666666665
16,ishikawa - pastillas de freno,26329.655
17,ishikawa - zapatas de freno,6343.93
18,ito koyama - amortiguadores,137101.16
19,ito koyama - bocamazas,11427.131666666666
20,ito koyama - cremalleras,6336.791666666667
21,ito koyama - direccion,4969.95
22,ito koyama - palieres,46348.28166666667
23,ito koyama - resortes,77138.02166666667
24,ito koyama - torretas,34.29333333333333
25,ito koyama - trapecios,18097.688333333335
26,ito koyama - tricetas,6944.621666666667
27,ks - alemania,84.745
28,laso,70.62166666666667
29,mann - brasil,119070.37
30,marilia,21.816666666666666
31,monark - alemania,6201.203333333334
32,mrk - japon,76.77
33,nachi - koyo - ntn - nsk - japon,3.1366666666666667
34,narva,115991.64166666666
35,nas - chumaceras,66.47
36,nas - pfi - zkl - mba,30.68166666666666
37,novaquimica - peru,1732.7733333333333
38,philips,9.886666666666667
39,plumillas - sakura,1192.0766666666666
40,prestone - mexico,11648.776666666667
41,prestone - usa,12841.891666666668
42,prextoline - lubricantes,78915.515
43,prextoline - usa,1596.9716666666666
44,rover - usa,8804.56
45,sabo- brasil,61.461666666666666
46,sachs - brasil,117.84166666666665
47,sakura - radiadores,16368.375
48,sakura filter,512604.875
49,seco - embragues,10989.08
50,sin definicion,20.805
51,skf - rodajes,94.07333333333332
52,spaco - italia,4.568333333333333
53,tkl - taiwan,2080.985
54,toyo - japon,486.7266666666667
55,trw - brasil,21.246666666666666
56,valvoline,45022.335
57,valvoline - usa,56127.361666666664
58,varga,378.43666666666667
59,versachem - usa,18899.281666666666
60,victor reinz - alemania,50.848333333333336
61,vkntech,62.56833333333333
62,wagner - pastillas,11262.835
63,wagner locked - usa,21463.753333333334
64,wix filters,14.83
65,zsg - taiwan,1.0333333333333334
